iter	Passed	Remaining
0	0	94
1	1	89
2	2	84
3	3	80
4	4	78
5	4	77
6	5	76
7	6	73
8	7	72
9	7	70
10	8	69
11	9	68
12	10	68
13	11	68
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	18	60
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	33	44
43	33	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
